FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
.13
0.00, 0.00, 0.00, 16.10
0.00, 0.00, 0.00, 16.07
0.00, 0.00, 0.00, 16.04
0.00, 0.00, 0.00, 16.01
0.00, 0.00, 0.00, 15.98
0.00, 0.00, 0.00, 15.95
0.00, 0.00, 0.00, 15.92
0.00, 0.00, 0.00, 15.90
0.00, 0.00, 0.00, 15.87
0.00, 0.00, 0.00, 15.84
0.00, 0.00, 0.00, 15.81
0.00, 0.00, 0.00, 15.79
0.00, 0.00, 0.00, 15.76
0.00, 0.00, 0.00, 15.74
0.00, 0.00, 0.00, 15.71
0.00, 0.00, 0.00, 15.69
0.00, 0.00, 0.00, 15.66
0.00, 0.00, 0.00, 15.64
0.00, 0.00, 0.00, 15.62
0.00, 0.00, 0.00, 16.84
82.80, 113.27, 111.27, 16.85
83.04, 110.54, 104.64, 16.81
85.74, 111.67, 101.56, 16.79
85.03, 107.08, 98.17, 16.78
84.50, 108.08, 95.44, 16.77
83.24, 104.46, 88.70, 16.75
83.46, 101.94, 87.44, 16.74
83.20, 107.24, 94.12, 16.73
83.26, 104.67, 92.91, 16.73
83.90, 103.41, 94.23, 16.71
83.20, 102.15, 94.86, 16.70
83.11, 103.31, 95.52, 16.69
83.04, 102.21, 90.86, 16.69
83.26, 101.08, 90.18, 16.68
83.15, 103.84, 87.23, 16.67
82.80, 101.51, 82.97, 16.66
82.53, 101.32, 84.79, 16.65
81.85, 100.36, 77.79, 16.64
83.11, 99.87, 80.87, 16.63
82.25, 100.09, 79.08, 16.63
81.67, 98.88, 71.66, 16.62
81.89, 97.25, 73.56, 16.61
82.22, 99.04, 78.16, 16.60
80.94, 99.98, 79.13, 16.60
81.30, 99.29, 76.84, 16.59
79.04, 99.50, 73.29, 16.58
82.09, 98.83, 73.19, 16.59
79.97, 98.45, 65.61, 16.57
75.86, 97.95, 62.35, 16.56
77.72, 95.21, 66.24, 16.56
77.05, 93.44, 56.99, 16.55
76.96, 95.61, 63.98, 16.54
78.98, 90.12, 62.01, 16.54
82.20, 89.48, 55.22, 16.53
79.35, 88.73, 60.06, 16.53
76.54, 92.85, 56.20, 16.52
74.27, 94.25, 58.38, 16.51
77.32, 89.69, 66.30, 16.51
78.31, 88.94, 65.30, 16.50
78.60, 88.54, 63.77, 16.50
76.92, 89.24, 62.69, 16.49
75.28, 92.69, 65.01, 16.49
74.67, 91.94, 58.56, 16.48
75.44, 90.98, 60.12, 16.48
72.43, 91.73, 60.77, 16.48
75.51, 90.15, 68.06, 16.47
78.47, 87.17, 71.21, 16.47
76.83, 85.78, 74.16, 16.47
77.83, 88.22, 69.93, 16.46
78.45, 87.33, 68.45, 16.45
76.24, 82.05, 73.58, 16.45
72.74, 81.54, 63.59, 16.45
73.30, 80.36, 71.53, 16.44
75.35, 76.18, 74.11, 16.44
77.41, 82.72, 73.79, 16.43
79.44, 81.52, 67.51, 16.43
78.69, 80.93, 69.66, 16.43
72.57, 85.35, 57.51, 16.42
70.44, 84.92, 52.36, 16.42
75.86, 77.42, 50.73, 16.42
65.23, 74.76, 56.01, 16.42
73.03, 70.07, 56.72, 16.41
71.57, 71.74, 46.94, 16.41
77.49, 72.62, 42.84, 16.41
77.65, 74.92, 52.41, 16.40
77.38, 77.12, 57.25, 16.40
76.08, 66.03, 59.17, 16.40
75.46, 61.34, 50.54, 16.39
78.42, 63.80, 47.47, 16.39
79.00, 62.30, 46.78, 16.39
75.37, 62.38, 0.00, 16.39
69.78, 63.64, 0.00, 16.39
67.22, 56.06, 0.00, 16.38
72.04, 57.58, 0.00, 16.38
69.78, 47.80, 0.00, 16.38
70.95, 47.61, 0.00, 16.38
69.78, 47.19, 0.00, 16.37
67.68, 46.46, 0.00, 16.37
69.16, 46.46, 0.00, 16.37
68.21, 46.17, 0.00, 16.37
69.36, 47.51, 0.00, 16.37
67.51, 45.02, 0.00, 16.36
68.50, 45.26, 0.00, 16.36
61.67, 45.95, 0.00, 16.36
59.55, 44.56, 0.00, 16.36
65.85, 42.90, 0.00, 16.36
61.25, 45.60, 0.00, 16.36
62.49, 46.86, 0.00, 16.35
59.88, 47.21, 0.00, 16.35
63.93, 47.29, 0.00, 16.35
58.16, 46.68, 0.00, 16.35
55.35, 42.01, 0.00, 16.35
53.36, 42.12, 0.00, 16.35
51.28, 41.99, 0.00, 16.35
37.43, 41.48, 0.00, 16.34
33.14, 40.67, 0.00, 16.34
35.31, 40.06, 0.00, 16.34
37.69, 0.00, 0.00, 16.34
34.67, 0.00, 0.00, 16.34
40.99, 0.00, 0.00, 16.34
33.21, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.34
