FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 16.31
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.35
0.00, 0.00, 0.00, 16.38
0.00, 0.00, 0.00, 16.41
0.00, 0.00, 0.00, 16.62
0.00, 0.00, 0.00, 15.79
0.00, 0.00, 0.00, 15.25
0.00, 0.00, 0.00, 14.95
0.00, 0.00, 0.00, 14.82
0.00, 0.00, 0.00, 14.76
0.00, 0.00, 0.00, 14.73
0.00, 0.00, 0.00, 14.71
0.00, 0.00, 0.00, 14.70
0.00, 0.00, 0.00, 14.69
0.00, 0.00, 0.00, 14.69
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.71
0.00, 0.00, 0.00, 14.69
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.69
0.00, 0.00, 0.00, 14.69
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.69
0.00, 0.00, 0.00, 14.68
0.00, 0.00, 0.00, 14.68
