FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.77
0.00, 0.00, 0.00, 14.78
0.00, 0.00, 0.00, 14.79
0.00, 0.00, 0.00, 14.79
67.97, 0.00, 0.00, 16.73
98.71, 130.13, 129.36, 17.20
94.62, 127.72, 126.05, 17.19
93.05, 123.99, 121.82, 17.15
92.43, 125.23, 120.74, 17.11
91.99, 124.37, 118.71, 17.10
91.26, 123.97, 120.92, 17.09
91.35, 123.73, 118.79, 17.07
91.20, 123.14, 119.32, 17.06
91.02, 122.41, 118.13, 17.05
91.24, 122.90, 118.79, 17.04
91.02, 122.36, 117.34, 17.03
91.33, 122.28, 118.58, 17.02
91.13, 121.61, 118.16, 17.01
92.01, 121.37, 118.34, 17.00
91.99, 120.59, 117.48, 16.99
92.39, 120.99, 117.00, 16.99
92.24, 121.77, 116.35, 16.98
92.17, 121.61, 115.50, 16.97
91.82, 122.09, 115.03, 16.96
91.99, 122.44, 114.53, 16.96
92.01, 123.03, 113.61, 16.95
91.84, 122.49, 112.69, 16.94
91.82, 122.01, 112.72, 16.93
91.31, 122.49, 114.35, 16.93
90.89, 122.47, 112.90, 16.92
90.73, 122.87, 113.61, 16.91
90.93, 122.52, 113.87, 16.91
90.89, 122.09, 113.45, 16.90
90.64, 121.34, 113.45, 16.89
90.56, 121.61, 113.82, 16.91
90.47, 121.07, 114.14, 16.88
90.18, 120.32, 113.72, 16.87
90.07, 120.43, 114.08, 16.87
89.58, 120.00, 113.11, 16.86
88.96, 120.03, 113.69, 16.85
89.12, 120.00, 112.45, 16.85
89.41, 120.78, 110.09, 16.84
89.45, 120.99, 110.01, 16.83
89.14, 120.54, 109.40, 16.83
88.85, 120.40, 109.85, 16.82
89.14, 120.27, 109.95, 16.82
89.30, 119.49, 110.74, 16.81
89.16, 119.33, 108.98, 16.81
89.19, 120.03, 111.19, 16.80
89.34, 120.43, 111.24, 16.79
88.46, 120.35, 110.40, 16.79
88.74, 120.11, 109.72, 16.78
88.74, 120.32, 108.67, 16.77
88.83, 120.38, 108.06, 16.77
88.39, 120.91, 108.90, 16.76
88.30, 120.56, 107.64, 16.75
88.17, 120.11, 108.38, 16.75
87.46, 119.63, 108.64, 16.74
87.68, 119.31, 107.88, 16.74
87.79, 120.08, 109.22, 16.73
87.73, 119.60, 108.64, 16.73
87.71, 120.35, 107.38, 16.72
87.71, 120.89, 108.17, 16.71
87.42, 120.46, 108.85, 16.71
87.37, 119.49, 109.03, 16.70
87.20, 118.88, 108.64, 16.70
86.40, 118.50, 107.90, 16.69
86.22, 118.42, 108.98, 16.69
86.03, 118.45, 107.43, 16.68
85.72, 117.75, 107.80, 16.67
85.87, 117.96, 106.43, 16.67
85.80, 116.12, 106.48, 16.66
85.36, 116.60, 105.69, 16.66
85.58, 117.51, 104.96, 16.65
84.04, 117.94, 104.64, 16.65
82.33, 117.03, 104.04, 16.64
83.02, 118.37, 104.96, 16.64
83.48, 118.39, 105.09, 16.63
83.71, 118.34, 105.51, 16.63
83.15, 117.43, 105.14, 16.62
81.16, 117.78, 105.30, 16.62
81.67, 117.38, 103.98, 16.61
81.14, 117.51, 104.27, 16.61
81.74, 114.96, 103.70, 16.60
81.76, 114.80, 101.96, 16.60
81.61, 114.70, 101.99, 16.59
83.15, 113.62, 101.30, 16.59
83.22, 113.52, 100.33, 16.58
82.36, 114.96, 101.17, 16.58
81.72, 114.11, 101.70, 16.57
81.76, 113.78, 101.85, 16.57
81.91, 113.44, 103.27, 16.56
81.67, 113.25, 104.25, 16.56
82.29, 113.38, 104.01, 16.55
83.51, 113.62, 104.59, 16.55
84.92, 113.30, 103.80, 16.55
85.14, 112.98, 103.77, 16.54
84.99, 114.13, 103.35, 16.54
84.61, 114.13, 102.64, 16.53
86.00, 113.44, 103.38, 16.53
86.73, 113.92, 103.04, 16.53
86.98, 113.92, 103.38, 16.52
87.17, 113.09, 104.67, 16.52
86.78, 113.36, 104.22, 16.51
86.22, 112.04, 102.43, 16.51
84.41, 112.28, 103.62, 16.51
84.61, 111.67, 103.04, 16.50
84.70, 109.84, 100.57, 16.50
85.16, 109.98, 100.96, 16.49
84.54, 110.62, 101.51, 16.49
84.32, 109.90, 101.41, 16.48
83.95, 109.04, 100.14, 16.48
83.71, 109.71, 100.96, 16.48
82.71, 110.51, 101.70, 16.47
82.58, 109.98, 101.78, 16.47
81.91, 108.42, 100.41, 16.47
81.85, 108.02, 101.46, 16.46
81.23, 107.94, 101.12, 16.46
82.22, 106.41, 100.91, 16.45
83.31, 107.19, 101.20, 16.45
82.82, 107.92, 101.96, 16.45
82.84, 105.77, 101.85, 16.45
81.72, 106.47, 101.41, 16.44
81.67, 106.17, 100.70, 16.44
81.61, 105.85, 100.25, 16.43
81.52, 104.65, 100.75, 16.43
81.76, 105.07, 100.41, 16.42
81.32, 104.75, 101.09, 16.42
81.56, 104.24, 101.41, 16.42
81.63, 105.24, 100.22, 16.42
81.52, 104.67, 99.28, 16.41
82.45, 104.14, 95.96, 16.41
83.75, 104.43, 95.67, 16.41
83.62, 104.97, 97.12, 16.40
83.46, 105.32, 97.33, 16.40
82.27, 105.32, 98.33, 16.40
80.96, 104.32, 98.62, 16.39
81.43, 102.45, 98.01, 16.39
82.03, 103.06, 97.67, 16.39
81.89, 103.01, 97.38, 16.38
81.43, 102.69, 95.38, 16.38
81.30, 102.58, 93.73, 16.38
81.96, 103.14, 94.54, 16.37
82.36, 102.69, 94.67, 16.37
82.25, 103.73, 95.36, 16.37
81.08, 102.02, 95.73, 16.36
79.77, 102.31, 96.20, 16.36
79.02, 101.24, 95.57, 16.35
78.93, 100.57, 94.46, 16.35
79.48, 101.19, 94.20, 16.35
80.04, 100.49, 92.68, 16.35
80.12, 102.15, 93.02, 16.34
79.95, 102.34, 92.23, 16.34
79.64, 101.72, 91.73, 16.34
78.38, 101.70, 92.18, 16.33
77.21, 101.38, 93.39, 16.33
74.84, 101.27, 92.15, 16.33
76.08, 101.08, 91.33, 16.33
76.21, 100.28, 91.83, 16.32
76.12, 101.54, 91.73, 16.32
76.59, 101.59, 91.31, 16.32
78.82, 101.08, 91.54, 16.32
78.73, 101.43, 92.83, 16.31
78.75, 100.65, 92.75, 16.31
78.38, 100.01, 93.52, 16.31
79.55, 101.48, 94.02, 16.30
80.43, 99.26, 93.62, 16.30
79.59, 100.36, 93.62, 16.30
79.77, 99.90, 93.07, 16.30
80.99, 99.87, 91.89, 16.29
80.15, 97.57, 92.23, 16.29
79.64, 99.79, 91.70, 16.29
79.37, 99.02, 91.23, 16.29
78.84, 98.80, 90.97, 16.28
79.44, 98.03, 90.91, 16.28
79.93, 98.64, 91.97, 16.28
79.57, 98.45, 91.26, 16.28
79.62, 96.52, 87.10, 16.28
79.64, 97.60, 85.89, 16.27
79.95, 97.54, 85.42, 16.27
80.06, 96.74, 85.86, 16.27
81.03, 97.28, 82.92, 16.27
81.32, 97.33, 82.21, 16.27
80.39, 96.42, 83.60, 16.26
80.01, 95.37, 76.66, 16.26
79.75, 97.25, 81.84, 16.26
79.31, 96.90, 79.68, 16.25
79.48, 94.33, 77.53, 16.25
79.22, 93.66, 78.55, 16.25
78.98, 95.10, 77.79, 16.25
78.73, 95.27, 79.03, 16.25
78.98, 92.34, 78.61, 16.24
78.93, 93.34, 75.03, 16.24
77.27, 95.05, 70.95, 16.24
77.07, 94.41, 75.32, 16.24
77.56, 90.52, 75.37, 16.23
78.11, 91.83, 76.53, 16.23
77.87, 92.32, 75.58, 16.23
77.96, 91.30, 76.21, 16.23
78.58, 89.82, 75.40, 16.23
78.87, 91.27, 74.29, 16.23
79.17, 91.89, 73.61, 16.22
79.06, 92.08, 72.21, 16.22
79.46, 87.92, 70.64, 16.22
79.09, 88.51, 70.79, 16.22
79.24, 88.49, 69.77, 16.22
79.06, 86.72, 73.40, 16.21
78.73, 85.38, 73.98, 16.21
79.09, 90.68, 68.66, 16.20
78.71, 91.11, 72.71, 16.21
78.38, 88.62, 71.85, 16.20
77.63, 85.56, 70.71, 16.20
76.83, 87.65, 69.22, 16.20
76.63, 88.78, 70.22, 16.20
77.03, 89.64, 69.19, 16.20
76.92, 91.83, 67.32, 16.20
76.85, 89.37, 67.09, 16.20
76.99, 88.27, 64.43, 16.19
77.78, 87.41, 57.72, 16.19
78.05, 90.84, 59.64, 16.19
79.02, 90.98, 54.07, 16.19
78.67, 85.51, 59.77, 16.19
79.59, 90.23, 62.75, 16.18
79.26, 86.53, 64.30, 16.18
79.06, 84.89, 64.19, 16.18
76.54, 89.07, 55.09, 16.18
76.15, 84.36, 57.01, 16.18
76.66, 82.80, 60.48, 16.18
77.98, 81.17, 62.30, 16.17
77.58, 83.12, 65.19, 16.17
78.20, 77.36, 64.67, 16.17
78.51, 81.95, 62.06, 16.17
78.18, 77.74, 52.94, 16.17
78.31, 83.61, 54.28, 16.17
78.42, 84.73, 60.83, 16.17
78.27, 76.21, 57.75, 16.16
78.47, 77.39, 65.24, 16.16
78.36, 77.93, 59.54, 16.16
77.74, 74.36, 59.27, 16.16
77.41, 71.98, 61.75, 16.15
77.54, 71.20, 62.69, 16.15
77.78, 73.13, 65.35, 16.15
78.45, 68.33, 64.11, 16.15
77.91, 63.32, 60.77, 16.15
77.32, 62.60, 60.12, 16.15
77.14, 66.05, 51.46, 16.14
75.53, 67.71, 50.67, 16.15
75.11, 62.46, 48.02, 16.14
76.35, 56.06, 58.17, 16.14
74.20, 59.54, 57.96, 16.14
73.12, 60.69, 0.00, 16.14
73.52, 57.91, 0.00, 16.14
73.12, 47.24, 0.00, 16.14
74.80, 49.89, 56.33, 16.13
75.09, 46.41, 43.07, 16.13
76.06, 42.50, 0.00, 16.13
73.83, 47.05, 51.62, 16.13
71.68, 47.27, 0.00, 16.13
73.45, 46.68, 0.00, 16.13
74.00, 45.63, 0.00, 16.13
73.30, 43.65, 0.00, 16.13
74.29, 43.70, 0.00, 16.12
74.09, 44.51, 0.00, 16.12
72.52, 42.47, 0.00, 16.12
72.94, 43.68, 0.00, 16.12
72.21, 43.25, 0.00, 16.12
71.84, 45.39, 0.00, 16.12
68.15, 45.31, 0.00, 16.12
68.59, 47.32, 0.00, 16.12
68.68, 43.92, 0.00, 16.11
68.19, 44.88, 0.00, 16.11
64.01, 44.48, 0.00, 16.11
67.35, 41.91, 0.00, 16.11
68.92, 44.53, 0.00, 16.11
63.59, 45.10, 0.00, 16.11
64.70, 42.12, 0.00, 16.11
64.63, 42.31, 0.00, 16.11
63.48, 41.88, 0.00, 16.11
64.17, 41.42, 41.07, 16.11
60.37, 40.35, 0.00, 16.10
51.68, 41.91, 0.00, 16.10
50.18, 41.99, 0.00, 16.10
54.80, 41.56, 0.00, 16.10
53.78, 41.75, 0.00, 16.10
49.60, 40.59, 0.00, 16.10
50.05, 40.78, 0.00, 16.10
51.90, 41.13, 0.00, 16.10
54.44, 40.65, 0.00, 16.10
55.84, 0.00, 0.00, 16.10
52.74, 0.00, 0.00, 16.10
47.26, 0.00, 0.00, 16.10
51.77, 0.00, 0.00, 16.10
57.07, 0.00, 0.00, 16.10
58.95, 0.00, 0.00, 16.09
60.37, 0.00, 0.00, 16.10
54.29, 0.00, 40.23, 16.09
54.16, 0.00, 0.00, 16.09
54.05, 0.00, 0.00, 16.09
54.91, 0.00, 0.00, 16.09
56.41, 0.00, 0.00, 16.09
55.51, 0.00, 0.00, 16.09
56.37, 0.00, 0.00, 16.09
55.48, 0.00, 0.00, 16.09
40.19, 0.00, 0.00, 16.09
38.67, 0.00, 0.00, 16.09
38.75, 0.00, 0.00, 16.09
38.27, 0.00, 0.00, 16.09
