FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.73
0.00, 0.00, 0.00, 14.73
0.00, 0.00, 0.00, 14.73
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.73
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.73
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.73
0.00, 0.00, 0.00, 14.79
0.00, 0.00, 0.00, 14.87
0.00, 0.00, 0.00, 14.97
0.00, 0.00, 0.00, 15.08
0.00, 0.00, 0.00, 15.19
0.00, 0.00, 0.00, 15.29
0.00, 0.00, 0.00, 15.36
0.00, 0.00, 0.00, 15.31
0.00, 0.00, 0.00, 15.38
0.00, 0.00, 0.00, 15.49
0.00, 0.00, 0.00, 15.56
0.00, 0.00, 0.00, 15.73
0.00, 0.00, 0.00, 15.89
0.00, 0.00, 0.00, 16.05
0.00, 0.00, 0.00, 16.20
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.48
0.00, 76.42, 0.00, 16.64
0.00, 83.79, 0.00, 16.81
0.00, 93.28, 0.00, 17.00
0.00, 98.59, 0.00, 17.19
0.00, 101.46, 0.00, 17.38
0.00, 102.90, 0.00, 17.57
0.00, 102.53, 0.00, 17.66
0.00, 104.32, 0.00, 17.63
0.00, 103.68, 0.00, 17.61
0.00, 101.62, 0.00, 17.59
0.00, 104.51, 0.00, 17.57
0.00, 103.84, 0.00, 17.56
0.00, 103.41, 0.00, 17.55
0.00, 100.52, 0.00, 17.54
0.00, 101.11, 0.00, 17.53
0.00, 100.89, 0.00, 17.51
0.00, 100.65, 0.00, 17.50
0.00, 100.81, 0.00, 17.49
0.00, 100.04, 0.00, 17.48
0.00, 100.01, 0.00, 17.47
0.00, 100.38, 0.00, 17.46
0.00, 100.52, 0.00, 17.45
0.00, 101.27, 0.00, 17.44
0.00, 101.75, 0.00, 17.43
0.00, 102.02, 0.00, 17.41
0.00, 102.64, 0.00, 17.41
0.00, 102.05, 0.00, 17.40
0.00, 101.97, 0.00, 17.39
0.00, 101.99, 0.00, 17.38
0.00, 102.66, 0.00, 17.37
0.00, 103.98, 0.00, 17.36
0.00, 103.68, 0.00, 17.35
0.00, 103.68, 0.00, 17.34
0.00, 103.89, 0.00, 17.33
0.00, 103.22, 0.00, 17.32
0.00, 102.77, 0.00, 17.31
0.00, 101.91, 0.00, 17.30
0.00, 100.81, 0.00, 17.29
0.00, 100.87, 0.00, 17.28
0.00, 100.28, 0.00, 17.27
0.00, 99.74, 0.00, 17.26
0.00, 99.37, 0.00, 17.25
0.00, 100.09, 0.00, 17.24
0.00, 99.93, 0.00, 17.23
0.00, 99.96, 0.00, 17.22
0.00, 99.23, 0.00, 17.21
0.00, 99.31, 0.00, 17.21
0.00, 98.96, 0.00, 17.20
0.00, 98.64, 0.00, 17.19
0.00, 99.47, 0.00, 17.18
0.00, 99.45, 0.00, 17.17
0.00, 98.83, 0.00, 17.16
0.00, 98.88, 0.00, 17.15
0.00, 96.44, 0.00, 17.14
0.00, 95.48, 0.00, 17.14
0.00, 94.76, 0.00, 17.13
0.00, 93.98, 0.00, 17.12
0.00, 93.58, 0.00, 17.11
0.00, 93.58, 0.00, 17.10
0.00, 92.96, 0.00, 17.09
0.00, 92.42, 0.00, 17.08
0.00, 91.35, 0.00, 17.08
0.00, 88.43, 0.00, 17.07
0.00, 88.11, 0.00, 17.06
0.00, 87.06, 0.00, 17.05
0.00, 86.80, 0.00, 17.04
0.00, 86.42, 0.00, 17.02
0.00, 82.03, 0.00, 16.78
0.00, 76.00, 0.00, 16.56
0.00, 72.14, 0.00, 16.36
0.00, 44.77, 0.00, 16.17
0.00, 46.76, 0.00, 15.99
0.00, 40.81, 0.00, 15.80
0.00, 0.00, 0.00, 15.63
0.00, 0.00, 0.00, 15.46
0.00, 0.00, 0.00, 15.29
0.00, 0.00, 0.00, 15.14
0.00, 0.00, 0.00, 14.99
0.00, 0.00, 0.00, 14.86
0.00, 0.00, 0.00, 14.75
0.00, 0.00, 0.00, 14.69
0.00, 0.00, 0.00, 14.67
0.00, 0.00, 0.00, 14.65
0.00, 0.00, 0.00, 14.58
0.00, 0.00, 0.00, 14.43
0.00, 0.00, 0.00, 14.27
0.00, 0.00, 0.00, 14.12
0.00, 0.00, 0.00, 13.98
0.00, 0.00, 0.00, 13.83
0.00, 0.00, 0.00, 13.69
0.00, 0.00, 0.00, 13.63
0.00, 0.00, 0.00, 13.65
0.00, 0.00, 0.00, 13.66
0.00, 0.00, 0.00, 13.67
0.00, 0.00, 0.00, 13.68
0.00, 0.00, 0.00, 13.68
0.00, 0.00, 0.00, 13.69
0.00, 0.00, 0.00, 13.70
0.00, 0.00, 0.00, 13.70
0.00, 0.00, 0.00, 13.71
0.00, 0.00, 0.00, 13.71
0.00, 0.00, 0.00, 13.72
0.00, 0.00, 0.00, 13.72
0.00, 0.00, 0.00, 13.73
0.00, 0.00, 0.00, 13.73
0.00, 0.00, 0.00, 13.73
0.00, 0.00, 0.00, 13.74
0.00, 0.00, 0.00, 13.74
0.00, 0.00, 0.00, 13.75
0.00, 0.00, 0.00, 13.75
0.00, 0.00, 0.00, 13.76
0.00, 0.00, 0.00, 13.76
0.00, 0.00, 0.00, 13.76
0.00, 0.00, 0.00, 13.77
0.00, 0.00, 0.00, 13.77
0.00, 0.00, 0.00, 13.78
0.00, 0.00, 0.00, 13.78
0.00, 0.00, 0.00, 13.78
0.00, 0.00, 0.00, 13.79
0.00, 0.00, 0.00, 13.79
0.00, 0.00, 0.00, 13.80
0.00, 0.00, 0.00, 13.80
0.00, 0.00, 0.00, 13.80
0.00, 0.00, 0.00, 13.81
0.00, 0.00, 0.00, 13.81
0.00, 0.00, 0.00, 13.81
0.00, 0.00, 0.00, 13.82
0.00, 0.00, 0.00, 13.82
0.00, 0.00, 0.00, 13.83
0.00, 0.00, 0.00, 13.84
0.00, 0.00, 0.00, 13.85
0.00, 0.00, 0.00, 13.87
0.00, 0.00, 0.00, 13.88
0.00, 0.00, 0.00, 13.89
0.00, 0.00, 0.00, 13.90
0.00, 0.00, 0.00, 13.90
0.00, 0.00, 0.00, 13.92
0.00, 0.00, 0.00, 13.93
0.00, 0.00, 0.00, 13.94
