FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.32
0.00, 0.00, 0.00, 14.44
0.00, 0.00, 0.00, 14.62
0.00, 0.00, 0.00, 14.78
0.00, 0.00, 0.00, 14.95
0.00, 0.00, 0.00, 15.12
0.00, 0.00, 0.00, 15.20
0.00, 0.00, 0.00, 15.11
0.00, 0.00, 0.00, 15.08
0.00, 0.00, 0.00, 15.22
0.00, 0.00, 0.00, 15.36
0.00, 0.00, 0.00, 15.51
0.00, 0.00, 0.00, 15.65
0.00, 0.00, 0.00, 15.79
0.00, 0.00, 0.00, 15.91
0.00, 0.00, 0.00, 16.06
0.00, 0.00, 0.00, 16.22
0.00, 0.00, 0.00, 16.38
0.00, 0.00, 0.00, 16.54
0.00, 0.00, 0.00, 16.67
0.00, 0.00, 0.00, 16.65
0.00, 0.00, 63.64, 16.76
47.44, 0.00, 91.94, 16.92
53.12, 51.05, 102.25, 17.10
51.15, 72.06, 101.72, 17.17
60.39, 73.29, 100.93, 17.13
53.58, 75.38, 100.14, 17.12
59.59, 72.73, 101.33, 17.11
61.25, 63.37, 99.57, 17.10
60.79, 67.42, 99.12, 17.09
61.85, 66.91, 95.67, 17.08
50.31, 63.08, 99.36, 17.08
58.86, 70.21, 100.59, 17.06
59.75, 70.13, 100.78, 17.06
62.25, 69.83, 99.09, 17.05
62.20, 69.38, 96.94, 17.04
62.60, 68.28, 96.46, 17.04
59.53, 68.84, 96.62, 17.03
63.15, 65.62, 97.01, 17.03
63.53, 63.91, 91.15, 17.02
63.84, 63.69, 94.81, 17.01
63.64, 61.93, 95.91, 17.01
63.70, 63.05, 92.18, 17.00
63.55, 66.24, 91.20, 16.99
63.24, 67.31, 93.52, 16.99
62.53, 66.29, 93.65, 16.98
61.25, 67.23, 93.44, 16.98
58.14, 70.23, 91.86, 16.85
52.68, 57.48, 89.55, 16.62
52.59, 44.59, 82.05, 16.41
0.00, 0.00, 74.82, 16.22
0.00, 0.00, 52.31, 16.03
0.00, 0.00, 0.00, 15.85
0.00, 0.00, 0.00, 15.67
0.00, 0.00, 0.00, 15.50
0.00, 0.00, 0.00, 15.34
0.00, 0.00, 0.00, 15.19
0.00, 0.00, 0.00, 15.05
0.00, 0.00, 0.00, 14.92
0.00, 0.00, 0.00, 14.79
0.00, 0.00, 0.00, 14.70
0.00, 0.00, 0.00, 14.67
0.00, 0.00, 0.00, 14.64
0.00, 0.00, 0.00, 14.56
0.00, 0.00, 0.00, 14.40
0.00, 0.00, 0.00, 14.25
0.00, 0.00, 0.00, 14.10
0.00, 0.00, 0.00, 13.95
0.00, 0.00, 0.00, 13.81
0.00, 0.00, 0.00, 13.67
0.00, 0.00, 0.00, 13.54
0.00, 0.00, 0.00, 13.54
0.00, 0.00, 0.00, 13.57
0.00, 0.00, 0.00, 13.58
0.00, 0.00, 0.00, 13.59
0.00, 0.00, 0.00, 13.60
0.00, 0.00, 0.00, 13.61
0.00, 0.00, 0.00, 13.62
0.00, 0.00, 0.00, 13.62
0.00, 0.00, 0.00, 13.65
0.00, 0.00, 0.00, 13.67
0.00, 0.00, 0.00, 13.69
0.00, 0.00, 0.00, 13.71
0.00, 0.00, 0.00, 13.73
0.00, 0.00, 0.00, 13.76
0.00, 0.00, 0.00, 13.80
0.00, 0.00, 0.00, 13.83
0.00, 0.00, 0.00, 13.85
0.00, 0.00, 0.00, 13.86
0.00, 0.00, 0.00, 13.87
0.00, 0.00, 0.00, 13.88
0.00, 0.00, 0.00, 13.90
0.00, 0.00, 0.00, 13.91
0.00, 0.00, 0.00, 13.92
0.00, 0.00, 0.00, 13.93
0.00, 0.00, 0.00, 13.93
0.00, 0.00, 0.00, 13.94
0.00, 0.00, 0.00, 13.95
0.00, 0.00, 0.00, 13.95
0.00, 0.00, 0.00, 13.97
0.00, 0.00, 0.00, 13.96
0.00, 0.00, 0.00, 13.97
0.00, 0.00, 0.00, 13.98
0.00, 0.00, 0.00, 13.99
0.00, 0.00, 0.00, 13.99
0.00, 0.00, 0.00, 14.00
0.00, 0.00, 0.00, 14.00
0.00, 0.00, 0.00, 14.01
0.00, 0.00, 0.00, 14.01
0.00, 0.00, 0.00, 14.01
0.00, 0.00, 0.00, 14.02
0.00, 0.00, 0.00, 14.02
0.00, 0.00, 0.00, 14.02
0.00, 0.00, 0.00, 14.02
0.00, 0.00, 0.00, 14.03
0.00, 0.00, 0.00, 14.03
0.00, 0.00, 0.00, 14.03
0.00, 0.00, 0.00, 14.03
0.00, 0.00, 0.00, 14.03
0.00, 0.00, 0.00, 14.04
0.00, 0.00, 0.00, 14.04
0.00, 0.00, 0.00, 14.04
0.00, 0.00, 0.00, 14.05
0.00, 0.00, 0.00, 14.05
0.00, 0.00, 0.00, 14.05
0.00, 0.00, 0.00, 14.05
0.00, 0.00, 0.00, 14.05
0.00, 0.00, 0.00, 14.10
0.00, 0.00, 0.00, 14.29
0.00, 0.00, 0.00, 14.46
0.00, 0.00, 0.00, 14.62
0.00, 0.00, 0.00, 14.79
0.00, 0.00, 0.00, 14.94
0.00, 0.00, 0.00, 14.98
0.00, 0.00, 0.00, 15.12
0.00, 0.00, 0.00, 15.23
0.00, 0.00, 0.00, 15.08
0.00, 0.00, 0.00, 15.22
0.00, 0.00, 0.00, 15.36
0.00, 0.00, 0.00, 15.51
0.00, 0.00, 0.00, 15.64
0.00, 0.00, 0.00, 15.77
0.00, 0.00, 0.00, 15.90
0.00, 0.00, 0.00, 16.04
0.00, 0.00, 0.00, 16.18
0.00, 0.00, 0.00, 16.31
0.00, 0.00, 0.00, 16.35
0.00, 0.00, 0.00, 16.48
39.22, 0.00, 0.00, 16.65
46.07, 0.00, 0.00, 16.83
48.17, 0.00, 0.00, 16.99
50.80, 0.00, 0.00, 16.98
